ENTITY_CD,ENTITY_NAME,YEAR,total_enrollment,PER_ECDIS,PER_BLACK,PER_HISP,PER_WHITE,PER_ASIAN,PER_ELL,PER_SWD,PER_FREE_LUNCH,PER_REDUCED_LUNCH,ATTENDANCE_RATE,PER_SUSPENSIONS,county,graduation_rate,dropout_rate,cohort_size
1,NYC Public Schools,2023,797844,75,20,42,16,19,16,24,73,3,,,NYC,,,
1,High Need/Resource Category: New York City Districts,2024,794626,78,19,43,15,19,17,23,75,3,,,NYC,,,
1,NYC Public Schools,2022,818129,75,21,42,16,19,17,23,71,3,,,NYC,,,
280100010000,GLEN COVE CITY SD,2023,3063,64,7,66,22,3,22,19,55,5,90.0,6.0,NASSAU,87.16666666666667,7.666666666666667,1574.0
280201030000,HEMPSTEAD UFSD,2023,5502,68,20,78,0,1,45,11,62,5,85.0,6.0,NASSAU,85.83333333333333,4.0,2522.0
280100010000,GLEN COVE CITY SD,2024,3082,63,7,67,21,3,22,19,53,5,91.0,5.0,NASSAU,87.16666666666667,7.666666666666667,1574.0
280202030000,UNIONDALE UFSD,2023,5776,70,33,65,1,1,24,15,62,2,89.0,4.0,NASSAU,88.33333333333333,6.333333333333333,3258.0
280201030000,HEMPSTEAD UFSD,2024,5738,70,21,77,0,2,45,12,63,7,85.0,5.0,NASSAU,85.83333333333333,4.0,2522.0
280203030000,EAST MEADOW UFSD,2023,7646,28,5,24,40,29,5,13,24,3,96.0,3.0,NASSAU,97.0,1.3333333333333333,3470.0
280202030000,UNIONDALE UFSD,2024,5756,65,31,66,1,1,25,15,60,3,90.0,3.0,NASSAU,88.33333333333333,6.333333333333333,3258.0
280204020000,NORTH BELLMORE UFSD,2023,2030,15,3,18,64,11,3,17,13,2,94.0,0.0,NASSAU,,,
280203030000,EAST MEADOW UFSD,2024,7743,30,5,25,38,30,5,13,25,1,95.0,2.0,NASSAU,97.0,1.3333333333333333,3470.0
280205030000,LEVITTOWN UFSD,2023,7091,23,1,23,57,16,4,13,18,3,94.0,2.0,NASSAU,97.58333333333333,0.5,3374.0
280206030000,SEAFORD UFSD,2023,2181,14,1,10,84,3,1,14,12,1,95.0,3.0,NASSAU,98.0,0.0,1026.0
280204020000,NORTH BELLMORE UFSD,2024,2094,18,4,20,61,12,4,18,15,2,95.0,1.0,NASSAU,,,
280207020000,BELLMORE UFSD,2023,974,14,2,13,72,11,4,22,13,1,94.0,1.0,NASSAU,,,
280205030000,LEVITTOWN UFSD,2024,7083,23,2,24,55,18,5,15,18,3,94.0,1.0,NASSAU,97.58333333333333,0.5,3374.0
280208030000,ROOSEVELT UFSD,2023,2947,66,38,60,0,1,29,13,59,1,89.0,7.0,NASSAU,84.66666666666667,10.333333333333334,1550.0
280206030000,SEAFORD UFSD,2024,2174,14,1,11,83,4,2,14,11,1,95.0,2.0,NASSAU,98.0,0.0,1026.0
280209030000,FREEPORT UFSD,2023,6342,66,21,71,4,1,23,16,62,4,93.0,6.0,NASSAU,88.83333333333333,0.6666666666666666,3088.0
280207020000,BELLMORE UFSD,2024,1029,17,2,14,71,11,3,24,14,2,95.0,0.0,NASSAU,,,
280208030000,ROOSEVELT UFSD,2024,2884,73,37,61,0,1,28,13,65,2,91.0,2.0,NASSAU,84.66666666666667,10.333333333333334,1550.0
280210030000,BALDWIN UFSD,2023,4357,45,48,33,9,5,5,18,37,4,94.0,5.0,NASSAU,98.33333333333333,0.0,2196.0
280211030000,OCEANSIDE UFSD,2023,5299,19,3,25,64,5,5,14,15,1,94.0,2.0,NASSAU,91.25,0.3333333333333333,2686.0
280209030000,FREEPORT UFSD,2024,6206,64,21,71,4,1,23,16,57,5,93.0,6.0,NASSAU,88.83333333333333,0.6666666666666666,3088.0
280210030000,BALDWIN UFSD,2024,4341,46,48,34,9,6,6,18,39,5,95.0,3.0,NASSAU,98.33333333333333,0.0,2196.0
280212030000,MALVERNE UFSD,2023,1797,42,43,28,18,9,2,15,32,7,94.0,3.0,NASSAU,97.33333333333333,0.3333333333333333,860.0
280213020000,VALLEY STREAM 13 UFSD,2023,1896,44,19,28,21,29,7,16,34,3,93.0,2.0,NASSAU,,,
280211030000,OCEANSIDE UFSD,2024,5266,20,3,25,63,5,5,16,16,1,100.0,2.0,NASSAU,91.25,0.3333333333333333,2686.0
280214030000,HEWLETT-WOODMERE UFSD,2023,2744,30,9,19,58,10,4,18,24,2,94.0,2.0,NASSAU,95.33333333333333,1.6666666666666667,1458.0
280215030000,LAWRENCE UFSD,2023,2262,76,14,72,10,3,25,17,74,2,89.0,5.0,NASSAU,88.33333333333333,6.333333333333333,1134.0
280212030000,MALVERNE UFSD,2024,1817,32,41,29,18,9,2,15,26,4,95.0,2.0,NASSAU,97.33333333333333,0.3333333333333333,860.0
280216020000,ELMONT UFSD,2023,3136,59,35,31,5,26,12,15,46,5,92.0,1.0,NASSAU,,,
280213020000,VALLEY STREAM 13 UFSD,2024,1896,43,20,28,19,31,7,18,36,3,93.0,2.0,NASSAU,,,
280217020000,FRANKLIN SQUARE UFSD,2023,1780,22,3,25,54,16,4,15,16,1,93.0,0.0,NASSAU,,,
280214030000,HEWLETT-WOODMERE UFSD,2024,2698,32,10,20,57,11,4,19,28,3,95.0,1.0,NASSAU,95.33333333333333,1.6666666666666667,1458.0
280218030000,GARDEN CITY UFSD,2023,3918,4,1,7,79,11,1,13,3,0,95.0,1.0,NASSAU,99.66666666666667,0.0,1738.0
280215030000,LAWRENCE UFSD,2024,2198,82,12,74,8,3,28,16,74,3,91.0,4.0,NASSAU,88.33333333333333,6.333333333333333,1134.0
280219030000,EAST ROCKAWAY UFSD,2023,1151,27,4,30,55,5,4,16,0,0,93.0,3.0,NASSAU,96.33333333333333,3.0,550.0
280216020000,ELMONT UFSD,2024,3137,59,34,31,5,27,12,17,51,5,93.0,1.0,NASSAU,,,
280220030000,LYNBROOK UFSD,2023,2746,18,6,20,63,7,2,16,13,0,95.0,1.0,NASSAU,98.83333333333333,0.3333333333333333,1296.0
280217020000,FRANKLIN SQUARE UFSD,2024,1788,26,3,26,52,17,4,16,22,2,94.0,1.0,NASSAU,,,
280221030000,ROCKVILLE CENTRE UFSD,2023,3382,15,6,16,71,3,1,15,12,1,94.0,2.0,NASSAU,99.33333333333333,0.3333333333333333,1574.0
280218030000,GARDEN CITY UFSD,2024,3939,4,1,7,77,12,1,13,4,0,96.0,0.0,NASSAU,99.66666666666667,0.0,1738.0
280222020000,FLORAL PARK-BELLEROSE UFSD,2023,1457,19,3,20,50,22,4,17,14,1,97.0,0.0,NASSAU,,,
280219030000,EAST ROCKAWAY UFSD,2024,1132,35,4,32,53,6,4,17,27,3,94.0,3.0,NASSAU,96.33333333333333,3.0,550.0
280220030000,LYNBROOK UFSD,2024,2727,19,7,21,62,7,2,16,15,1,95.0,2.0,NASSAU,98.83333333333333,0.3333333333333333,1296.0
280223030000,WANTAGH UFSD,2023,2761,9,1,9,84,3,1,16,8,0,94.0,1.0,NASSAU,99.16666666666667,0.0,1238.0
280224020000,VALLEY STREAM 24 UFSD,2023,1022,43,23,44,13,17,10,12,38,3,93.0,1.0,NASSAU,,,
280221030000,ROCKVILLE CENTRE UFSD,2024,3319,17,7,17,70,3,1,16,14,1,94.0,1.0,NASSAU,99.33333333333333,0.3333333333333333,1574.0
280225020000,MERRICK UFSD,2023,1591,9,3,10,80,6,2,14,7,0,95.0,0.0,NASSAU,,,
280226030000,ISLAND TREES UFSD,2023,2182,33,1,25,52,20,5,9,25,4,94.0,3.0,NASSAU,98.33333333333333,1.3333333333333333,1118.0
280222020000,FLORAL PARK-BELLEROSE UFSD,2024,1435,21,2,21,50,21,4,19,17,2,97.0,0.0,NASSAU,,,
280227030000,WEST HEMPSTEAD UFSD,2023,1548,53,20,49,19,9,9,20,42,7,93.0,5.0,NASSAU,96.33333333333333,1.3333333333333333,890.0
280223030000,WANTAGH UFSD,2024,2731,10,1,10,83,3,1,17,9,0,95.0,2.0,NASSAU,99.16666666666667,0.0,1238.0
280229020000,NORTH MERRICK UFSD,2023,1213,12,3,17,69,9,4,18,9,1,95.0,0.0,NASSAU,,,
280224020000,VALLEY STREAM 24 UFSD,2024,1054,45,24,43,11,19,11,12,39,3,94.0,0.0,NASSAU,,,
280230020000,VALLEY STREAM 30 UFSD,2023,1342,53,33,28,6,30,10,11,41,3,93.0,0.0,NASSAU,,,
280225020000,MERRICK UFSD,2024,1594,9,3,11,78,6,3,14,9,0,94.0,1.0,NASSAU,,,
280231020000,ISLAND PARK UFSD,2023,626,44,4,41,49,4,7,14,37,5,93.0,3.0,NASSAU,,,
280251070000,VALLEY STREAM CENTRAL HS DISTRICT,2023,4588,45,30,31,14,23,4,14,35,3,96.0,0.0,NASSAU,,,
